Comando,NomeCat,NomeProd,Peso,Estoque,EstoqueMinimo,Disponivel,Preco,Lancamento,EmDestaque,Adicional1,Cores,IDProdutoPai
I,Jaqueta,Jaqueta Top Gun,3.1,80,5,True,1170,False,False,46318,11342,1376391
I,Jaqueta,Jaqueta Top Gun,3.1,80,5,True,1170,False,False,46319,11342,1376391
I,Jaqueta,Jaqueta Top Gun,3.1,80,5,True,1170,False,False,46320,11342,1376391
I,Jaqueta,Jaqueta Top Gun,3.1,80,5,True,1170,False,False,46321,11342,1376391
I,Jaqueta,Jaqueta Top Gun,3.1,80,5,True,1170,False,False,46322,11342,1376391
I,Jaqueta,Jaqueta Top Gun,3.1,80,5,True,1170,False,False,46323,11342,1376391
I,Jaqueta,Jaqueta Top Gun,3.1,80,5,True,1170,False,False,46324,11342,1376391
I,Jaqueta,Jaqueta Top Gun,3.1,80,5,True,1170,False,False,46325,11342,1376391
