Comando,NomeCat,NomeProd,Peso,Estoque,EstoqueMinimo,Disponivel,Preco,Lancamento,EmDestaque,Adicional1,Cores,IDProdutoPai
I,Jaqueta,Jaqueta de vôo FJ G1,3.1,80,5,True,910,False,False,46318,11342,1376382
I,Jaqueta,Jaqueta de vôo FJ G1,3.1,80,5,True,910,False,False,46319,11342,1376382
I,Jaqueta,Jaqueta de vôo FJ G1,3.1,80,5,True,910,False,False,46320,11342,1376382
I,Jaqueta,Jaqueta de vôo FJ G1,3.1,80,5,True,910,False,False,46321,11342,1376382
I,Jaqueta,Jaqueta de vôo FJ G1,3.1,80,5,True,910,False,False,46322,11342,1376382
I,Jaqueta,Jaqueta de vôo FJ G1,3.1,80,5,True,910,False,False,46323,11342,1376382
I,Jaqueta,Jaqueta de vôo FJ G1,3.1,80,5,True,910,False,False,46324,11342,1376382
I,Jaqueta,Jaqueta de vôo FJ G1,3.1,80,5,True,910,False,False,46325,11342,1376382
