Comando,NomeCat,NomeProd,Peso,Estoque,EstoqueMinimo,Disponivel,Preco,Lancamento,EmDestaque,Adicional1,Cores,IDProdutoPai
I,Jaqueta,Jaqueta A3,0.7,500,5,True,246,False,False,46318,12545,1930819
I,Jaqueta,Jaqueta A3,0.7,500,5,True,246,False,False,46319,12545,1930819
I,Jaqueta,Jaqueta A3,0.7,500,5,True,246,False,False,46320,12545,1930819
I,Jaqueta,Jaqueta A3,0.7,500,5,True,246,False,False,46321,12545,1930819
I,Jaqueta,Jaqueta A3,0.7,500,5,True,246,False,False,46322,12545,1930819
I,Jaqueta,Jaqueta A3,0.7,500,5,True,246,False,False,46323,12545,1930819
I,Jaqueta,Jaqueta A3,0.7,500,5,True,246,False,False,46324,12545,1930819
I,Jaqueta,Jaqueta A3,0.7,500,5,True,246,False,False,46325,12545,1930819
