Comando,NomeCat,IDProduto,CodProd,NomeProd,Peso,Descricao,DescrLonga,DescrURL,URLTarget,Estoque,EstoqueMinimo,Disponivel,ICMS,Custo,Preco,PrecoProm,PrecoB2B,PrecoB2BProm,DataPromInicio,DataPromFim,Lancamento,EmDestaque,ImagemProd,ImagemDet,ImagemAmp,Adicional1,Adicional2,Adicional3,AdicionalD1,AdicionalD2,AdicionalD3,Cores,OrdemProd,IDProdutoPai,RamoProd,MaisProd,DataVencimento,DiasAvisoVencimento,DiasReposicao,IDParceiroProd,DescrHTM,MetaKeywordsProd,MaxParcelasProd,XMLParcelasProd,CodBarrasProd,Embalavel,IsProdutoGrande,LarguraProd,AlturaProd,ProfundidadeProd,CodVideo,ProdMPN,TitleProd,URLProd,VendaConjunta,MetaDescriptionProd,IDsFiltroItem
I,Macacão de Voo,,MVOO-FM27,,1.5,,,,False,300,10,True,0,0,322,0,0,0,,,False,False,,,,46318,,,,,,11229,0,1547914,0,,,0,0,,,,0,0,,True,False,0,0,0,,,,,,,
I,Macacão de Voo,,MVOO-FM27,,1.5,,,,False,300,10,True,0,0,322,0,0,0,,,False,False,,,,46319,,,,,,11229,0,1547914,0,,,0,0,,,,0,0,,True,False,0,0,0,,,,,,,
I,Macacão de Voo,,MVOO-FM27,,1.5,,,,False,300,10,True,0,0,322,0,0,0,,,False,False,,,,46320,,,,,,11229,0,1547914,0,,,0,0,,,,0,0,,True,False,0,0,0,,,,,,,
I,Macacão de Voo,,MVOO-FM27,,1.5,,,,False,300,10,True,0,0,322,0,0,0,,,False,False,,,,46321,,,,,,11229,0,1547914,0,,,0,0,,,,0,0,,True,False,0,0,0,,,,,,,
I,Macacão de Voo,,MVOO-FM27,,1.5,,,,False,300,10,True,0,0,322,0,0,0,,,False,False,,,,46322,,,,,,11229,0,1547914,0,,,0,0,,,,0,0,,True,False,0,0,0,,,,,,,
I,Macacão de Voo,,MVOO-FM27,,1.5,,,,False,300,10,True,0,0,322,0,0,0,,,False,False,,,,46323,,,,,,11229,0,1547914,0,,,0,0,,,,0,0,,True,False,0,0,0,,,,,,,
I,Macacão de Voo,,MVOO-FM27,,1.5,,,,False,300,10,True,0,0,322,0,0,0,,,False,False,,,,46324,,,,,,11229,0,1547914,0,,,0,0,,,,0,0,,True,False,0,0,0,,,,,,,
I,Macacão de Voo,,MVOO-FM27,,1.5,,,,False,300,10,True,0,0,322,0,0,0,,,False,False,,,,46325,,,,,,11229,0,1547914,0,,,0,0,,,,0,0,,True,False,0,0,0,,,,,,,
